method,MAE,RMSE
Mean,0.8249411269056356,1.0893876027100033
FFill-BFill,0.3185251558227091,0.8079538687906672
Linear,0.3035909373320053,0.7809453032554378
KNN_5,0.25738693369043825,0.7050448155889633
DeepMVI,5.795168788921093e-06,0.0001298428227074031
