method,MAE,RMSE
Mean,0.7652163823390526,0.9956923012784025
FFill-BFill,0.35058700948279314,0.5394698966742248
Linear,0.21428743137148193,0.34336434105379254
KNN_5,0.28949210673045217,0.4791100926207131
DeepMVI,5.649922753065799e-05,0.0037521724224028113
